ts,slot,node_id,rain_intensity_mmph,flow_m3s,temp_C,pH,DO_mgL,EC_uScm,COD_mgL,NH3N_mgL,TN_mgL,TP_mgL,TSS_mgL,turbidity_NTU
2026-01-01 00:00:00,0,12,0.0,0.061817,15.195648,6.91148,0.867023,1194.246885,441.990341,14.125547,38.293132,3.5351,164.828113,46.487011
2026-01-01 00:00:05,1,12,0.0,0.053737,14.870136,7.279845,0.568168,1219.55606,380.135032,18.496556,43.07114,5.237389,154.395964,56.939221
2026-01-01 00:00:10,2,12,0.0,0.061622,15.235947,7.536803,0.743214,1087.220755,566.999804,15.345995,47.020441,5.012356,184.791411,48.478396
2026-01-01 00:00:15,3,12,0.0,0.059067,15.323507,6.803739,0.631431,1129.394795,615.402516,19.757462,36.132174,5.058108,195.415688,56.264516
2026-01-01 00:00:20,4,12,0.0,0.060033,14.796727,7.077627,0.980243,1150.512292,506.200535,13.890132,49.165686,6.117341,150.319114,49.554886
2026-01-01 00:00:25,5,12,0.0,0.055178,14.979852,7.340294,0.924898,1018.485085,529.464359,16.961352,32.148292,4.712527,153.602858,61.813494
2026-01-01 00:00:30,6,12,0.0,0.050521,15.308131,6.601643,0.518256,1002.743521,558.817057,16.377941,41.263408,5.356552,216.649722,51.270647
2026-01-01 00:00:35,7,12,0.0,0.053035,15.029914,7.470786,1.347959,1104.468637,435.229692,17.667873,43.173445,5.268061,152.56536,45.777055
2026-01-01 00:00:40,8,12,0.0,0.054621,15.09085,7.270893,0.794293,1105.789066,510.72336,17.072278,35.601458,5.750815,202.292062,48.335057
2026-01-01 00:00:45,9,12,0.0,0.055565,15.0892,7.28341,0.722939,1083.576343,424.385161,20.996339,38.940215,4.465779,202.868459,40.726678
2026-01-01 00:00:50,10,12,0.0,0.061563,15.396314,6.743451,0.995691,1046.160369,570.947822,15.086873,35.913899,5.438483,169.923785,57.916163
2026-01-01 00:00:55,11,12,0.0,0.059851,15.119784,6.999112,1.041027,999.369117,513.357346,20.380369,39.810114,4.735286,138.211223,47.91769
2026-01-01 00:01:00,12,12,0.0,0.058206,15.083346,7.115279,0.882498,1208.68312,494.685429,18.897055,44.359084,5.810895,179.826373,54.204192
2026-01-01 00:01:05,13,12,0.0,0.05605,15.412465,7.454925,0.874358,1145.974409,515.812145,19.975058,47.155907,4.645339,164.12314,59.000639
2026-01-01 00:01:10,14,12,0.0,0.060215,14.885547,7.059137,0.793906,994.292675,478.628797,12.745882,39.70507,5.707101,127.547086,42.546133
2026-01-01 00:01:15,15,12,0.0,0.051929,14.411058,7.047585,0.588888,993.150185,523.215482,18.382455,49.459665,4.532339,178.866382,46.186773
2026-01-01 00:01:20,16,12,0.0,0.060963,15.438111,6.416095,0.622302,1146.316681,479.282836,22.255972,36.346482,4.516232,149.031366,47.164448
2026-01-01 00:01:25,17,12,0.0,0.063621,14.982537,6.705074,1.079413,941.106239,603.025869,19.035713,46.449312,4.361075,199.816778,56.749211
2026-01-01 00:01:30,18,12,0.0,0.053643,15.162806,7.05088,0.531191,974.496225,420.424283,19.035616,41.222224,4.63744,164.551365,52.86619
2026-01-01 00:01:35,19,12,0.0,0.063599,15.32076,7.188006,0.936944,1062.967443,632.059488,18.609856,39.901577,4.721782,169.879492,62.469767
2026-01-01 00:01:40,20,12,0.0,0.060242,14.989745,7.294131,0.454501,1113.31054,545.015599,19.454287,44.625457,3.789096,140.870235,46.607951
2026-01-01 00:01:45,21,12,0.0,0.053737,14.914694,6.556931,0.753326,1183.927692,567.768212,14.323321,45.931216,5.237612,178.728442,41.510293
2026-01-01 00:01:50,22,12,0.0,0.06116,15.475919,7.069865,1.384259,844.111306,327.542548,16.32113,48.027595,5.346114,170.756622,50.749487
2026-01-01 00:01:55,23,12,0.0,0.06232,15.157129,7.092462,0.966136,1000.957715,509.532507,13.410893,45.970265,4.295629,133.971747,33.534778
2026-01-01 00:02:00,24,12,0.0,0.064043,14.974178,6.742098,0.993569,1190.963962,414.366793,10.546514,41.746612,5.005741,203.753663,43.081562
2026-01-01 00:02:05,25,12,0.0,0.061269,15.047585,7.023867,1.267994,1073.238704,526.015796,18.217918,45.210461,4.230201,150.4796,55.581464
2026-01-01 00:02:10,26,12,0.0,0.062845,15.55286,7.015447,0.50384,1084.671704,405.547429,17.3204,40.543726,4.238773,154.823508,56.083865
2026-01-01 00:02:15,27,12,0.0,0.058945,15.060695,7.255646,0.858491,1083.0479,596.342208,18.047455,43.452155,5.46704,178.783888,43.130363
2026-01-01 00:02:20,28,12,0.0,0.057272,15.352165,7.084482,0.557164,920.261637,586.119518,18.552796,37.36791,5.983769,174.009614,58.228322
2026-01-01 00:02:25,29,12,0.0,0.051189,15.056398,7.132729,0.652626,858.372023,533.832627,14.814388,31.289347,5.783455,169.817517,46.203753
2026-01-01 00:02:30,30,12,0.0,0.053529,16.118773,6.651251,1.112771,1168.861641,450.966778,12.383149,47.860036,4.024736,186.779542,47.852792
2026-01-01 00:02:35,31,12,0.0,0.063146,15.021117,6.775975,0.973921,1099.982533,533.260733,17.193296,45.113955,4.985716,138.873805,51.654701
2026-01-01 00:02:40,32,12,0.0,0.061756,15.041667,7.068796,0.763367,1022.935814,514.301927,16.445837,41.789304,6.075125,165.906547,42.087327
2026-01-01 00:02:45,33,12,0.0,0.055217,15.033608,7.012266,0.96848,1109.628386,402.363573,21.98986,49.659477,5.533735,185.068118,56.301571
2026-01-01 00:02:50,34,12,0.0,0.050816,15.602089,6.91216,1.114602,789.102987,529.935762,14.883576,47.58163,5.801631,117.262062,51.740026
2026-01-01 00:02:55,35,12,0.0,0.054959,15.363699,6.616986,0.550396,1133.711255,460.916736,20.460195,41.65227,6.170958,208.390953,52.563817
2026-01-01 00:03:00,36,12,0.0,0.056505,15.268154,7.110441,0.463004,1083.34065,550.765743,14.973968,34.743672,6.471234,174.449702,42.460376
2026-01-01 00:03:05,37,12,0.0,0.052957,15.202018,7.24308,1.136367,1051.629145,582.501936,16.327057,38.421396,4.553813,195.11103,70.633707
2026-01-01 00:03:10,38,12,0.0,0.058649,15.260372,6.871079,0.791743,985.671601,445.773464,15.801655,43.69546,4.005159,185.61879,57.00433
2026-01-01 00:03:15,39,12,0.0,0.064712,15.030337,7.030754,0.644038,1028.911503,439.826312,13.648189,35.924434,7.399902,164.026204,53.419169
2026-01-01 00:03:20,40,12,0.0,0.054098,15.673537,6.542714,0.952536,969.387598,544.271305,14.990794,36.287592,4.802867,205.35974,52.169038
2026-01-01 00:03:25,41,12,0.0,0.061486,15.240812,7.042544,1.635296,963.803309,430.497789,19.575667,41.877888,4.749929,144.925406,57.297531
2026-01-01 00:03:30,42,12,0.0,0.053557,15.095884,7.087039,0.717331,937.849272,557.079424,18.978244,40.76544,4.814333,166.357807,44.093768
2026-01-01 00:03:35,43,12,0.0,0.059491,15.074159,6.728166,0.753918,1066.548696,526.165619,18.889036,44.00118,5.999112,207.893875,54.771411
2026-01-01 00:03:40,44,12,0.0,0.053166,15.182547,7.041225,0.604186,1140.492522,499.800046,17.855242,46.826855,4.891146,116.050453,40.973272
2026-01-01 00:03:45,45,12,0.0,0.060773,15.287631,6.875039,1.025673,1020.099733,543.521832,19.69036,45.327033,5.757029,195.101038,50.12952
2026-01-01 00:03:50,46,12,0.0,0.060207,15.255095,6.321017,0.812431,1074.690554,496.113222,17.907616,38.221852,5.694854,159.461647,69.977459
2026-01-01 00:03:55,47,12,0.0,0.060695,15.90893,6.86056,0.901602,1084.178988,407.305376,17.113034,48.139335,4.71201,154.995251,45.311828
2026-01-01 00:04:00,48,12,0.0,0.064908,15.499405,7.477775,0.41207,1067.719759,452.270726,17.199308,42.669132,5.162432,181.615596,51.47168
