ts,slot,node_id,rain_intensity_mmph,flow_m3s,temp_C,pH,DO_mgL,EC_uScm,COD_mgL,NH3N_mgL,TN_mgL,TP_mgL,TSS_mgL,turbidity_NTU
2026-01-01 00:00:00,0,4,0.0,0.359314,15.214593,7.061378,1.455264,978.462118,283.940869,10.813802,25.394455,2.813722,104.169227,31.656134
2026-01-01 00:00:05,1,4,0.0,0.359314,15.214593,7.061378,1.455264,978.462118,283.940869,10.813802,25.394455,2.813722,104.169227,31.656134
2026-01-01 00:00:10,2,4,0.0,0.359314,15.214593,7.061378,1.455264,978.462118,283.940869,10.813802,25.394455,2.813722,104.169227,31.656134
2026-01-01 00:00:15,3,4,0.0,0.351009,14.99016,7.153843,1.440292,989.88463,273.453494,11.237272,26.572584,2.901445,91.092333,32.746214
2026-01-01 00:00:20,4,4,0.0,0.356449,15.242702,7.061849,1.396362,982.074114,301.172502,11.171447,27.18052,3.160561,100.768769,30.248406
2026-01-01 00:00:25,5,4,0.0,0.353707,15.327316,7.043266,1.394435,960.420443,321.463461,12.18856,25.330598,3.067919,103.153684,32.448789
2026-01-01 00:00:30,6,4,0.0,0.357131,14.971374,7.096068,1.527564,993.539243,283.106733,10.317675,27.150369,3.222181,105.060607,32.171538
2026-01-01 00:00:35,7,4,0.0,0.35442,15.089597,7.011568,1.468177,943.171078,318.739938,10.327984,24.836022,3.099217,94.823795,35.173253
2026-01-01 00:00:40,8,4,0.0,0.343884,15.214426,6.942078,1.400854,958.62823,297.833276,10.996915,26.900072,3.132645,94.693806,32.134908
2026-01-01 00:00:45,9,4,0.0,0.345596,15.136655,7.182214,1.582285,955.258467,290.237775,10.570309,26.65334,3.00714,95.662697,31.071738
2026-01-01 00:00:50,10,4,0.0,0.348744,15.186571,7.065211,1.420308,961.950898,278.759196,10.700931,24.099733,3.181078,106.50112,32.428957
2026-01-01 00:00:55,11,4,0.0,0.351307,15.024405,6.974986,1.486029,957.447907,296.159281,11.828054,25.920886,2.94785,103.490654,29.642395
2026-01-01 00:01:00,12,4,0.0,0.371216,15.351457,6.983874,1.438089,972.300613,303.041053,9.961955,24.64876,3.24602,98.55425,32.64809
2026-01-01 00:01:05,13,4,0.0,0.361946,15.305264,7.135326,1.53656,961.708953,321.780686,10.773366,25.335739,3.003143,96.601512,30.346363
2026-01-01 00:01:10,14,4,0.0,0.347895,14.945244,6.925595,1.419474,1002.328529,267.964726,11.583605,25.791097,3.308861,105.571352,30.539392
2026-01-01 00:01:15,15,4,0.0,0.342164,15.195758,7.212138,1.528668,969.459977,263.077152,11.251671,26.916986,3.055997,103.552592,35.129962
2026-01-01 00:01:20,16,4,0.0,0.332375,15.209793,7.126815,1.498326,959.478687,284.358317,9.639424,26.54585,2.971129,99.500004,27.796148
2026-01-01 00:01:25,17,4,0.0,0.335554,14.693367,7.103266,1.5237,977.776089,304.811143,10.850765,26.673805,2.703025,107.181917,30.736547
2026-01-01 00:01:30,18,4,0.0,0.345417,15.113253,6.80624,1.477465,1007.870641,301.214484,12.353559,25.060714,2.878102,110.373818,29.685336
2026-01-01 00:01:35,19,4,0.0,0.348669,15.019184,6.98695,1.408598,907.526481,296.099028,11.686128,27.081878,2.66267,112.066501,34.949411
2026-01-01 00:01:40,20,4,0.0,0.358662,15.284486,7.082272,1.393926,956.899625,274.159392,10.122203,25.866859,3.082246,110.070313,30.537017
2026-01-01 00:01:45,21,4,0.0,0.345579,15.266057,7.220067,1.514859,948.702428,322.584846,12.768483,25.465543,3.097969,107.634413,34.340723
2026-01-01 00:01:50,22,4,0.0,0.33384,14.974863,7.024083,1.349498,993.402118,310.186597,11.264854,26.615348,2.989756,110.909047,29.755991
2026-01-01 00:01:55,23,4,0.0,0.343458,15.228101,6.992979,1.484621,964.093158,260.833549,9.863746,24.677064,2.942656,109.777321,29.657266
2026-01-01 00:02:00,24,4,0.0,0.369067,15.42963,7.009512,1.505258,910.534274,233.227722,10.346078,24.207702,3.495486,101.567239,33.142238
2026-01-01 00:02:05,25,4,0.0,0.342663,15.091295,7.1581,1.52148,947.327315,284.822299,11.292833,27.65256,2.834167,106.119648,30.835114
